CustomerID,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Churn,BalancePerProduct,AgeBand,TenureBand,ActivityLevel,SalaryPerProduct,BalanceToSalaryRatio,HighValueCustomer,CustomerRiskScore,HasZeroBalance,IsSingleProduct,LogBalance,LogSalary
CUST0001,male,56,4,0.0,4,0,0,40282.42,1,0.0,50-59,Medium (3-5 years),Low,8056.4839999999995,0.0,0,0.3,1,0,0.0,10.603695248888595
CUST0002,female,28,8,67408.01,4,0,1,27333.51,0,13481.601999999999,18-29,Long (6+ years),Medium,5466.701999999999,2.466040547278879,0,0.2,0,0,11.11853396749131,10.215905285432196
CUST0003,female,47,6,1154.97,1,0,1,99514.91,1,577.485,40-49,Long (6+ years),Medium,49757.455,0.01160588291862075,0,0.2,0,1,7.052695097338482,11.50807280986161
CUST0004,male,42,1,0.0,2,1,1,146588.22,0,0.0,40-49,New (0-2 years),High,48862.74,0.0,1,0.3,1,0,0.0,11.89538953230669
CUST0005,male,64,3,77109.94,4,0,0,131792.25,0,15421.988000000001,60+,Medium (3-5 years),Low,26358.45,0.5850826199369088,1,0.3,0,0,11.253000443130087,11.788989685778517
CUST0006,male,26,7,0.0,4,1,1,70104.15,1,0.0,18-29,Long (6+ years),High,14020.829999999998,0.0,0,0.2,1,0,0.0,11.157751536800614
CUST0007,male,19,4,48964.07,3,1,0,128315.34,1,12241.0175,18-29,Medium (3-5 years),Medium,32078.835,0.3815887360877033,1,0.5,0,0,10.798862465746438,11.762253900249679
CUST0008,male,34,4,37264.98,2,1,1,47032.42,0,12421.660000000002,30-39,Medium (3-5 years),High,15677.473333333333,0.7923085329538019,0,0.2,0,0,10.525836125104984,10.758613691835874
CUST0009,female,46,2,155251.43,2,1,1,97727.0,0,51750.47666666666,40-49,New (0-2 years),High,32575.666666666668,1.5886074615258676,1,0.3,0,0,11.952807651847143,11.489943388578304
CUST0010,male,25,7,104646.02,4,0,1,117151.61,0,20929.204,18-29,Long (6+ years),Medium,23430.322,0.8932453148077538,1,0.2,0,0,11.558348251596746,11.671232722817088
CUST0011,female,41,10,193085.81,4,0,0,58515.56,1,38617.162,40-49,Long (6+ years),Low,11703.112,3.2996780740357945,1,0.3,0,0,12.170895159506703,10.977065070084311
CUST0012,male,42,7,0.0,4,1,1,21830.38,1,0.0,40-49,Long (6+ years),High,4366.076,0.0,0,0.0,1,0,0.0,9.991103663304088
CUST0013,male,25,3,0.0,1,1,0,104640.01,0,0.0,18-29,Medium (3-5 years),Medium,52320.005,0.0,0,0.7,1,1,0.0,11.558290818785117
